Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AD26	LI1_2nd_3	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD34	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD30	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD31	LI1_2nd_6	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD29	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD33	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD27	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD28	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD41	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD46	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD47	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD37	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD38	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD49	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD50	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD39	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD51	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD52	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD40	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD36	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD53	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD42	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD43	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD44	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD47_a	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD45_a	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD50_a	LI1_2nd_3	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
AD46_a	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics
