Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
AD12_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.468418318497896	41.0	150.0	150	18.181818181818183	13004980.0
AD12_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.208396872759721	41.0	150.0	150	18.181818181818183	13004980.0
AD13_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	86.62917161384635	48.0	150.0	150	18.181818181818183	14339420.0
AD13_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	86.91152022571286	48.0	150.0	150	18.181818181818183	14339420.0
AD14_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.157816197448199	43.0	150.0	150	18.181818181818183	962668.0
AD14_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.759682384524751	43.0	150.0	150	18.181818181818183	962668.0
AD14_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	9.771708258512305	43.0	150.0	150	18.181818181818183	13793086.0
AD14_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	10.6002607255639	43.0	150.0	150	18.181818181818183	13793086.0
AD15_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.264493433235813	42.0	150.0	150	18.181818181818183	730284.0
AD15_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.1958465413651	42.0	150.0	150	18.181818181818183	730284.0
AD15_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	9.9150130080847	42.0	150.0	150	18.181818181818183	9756302.0
AD15_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	10.77073171395054	42.0	150.0	150	18.181818181818183	9756302.0
AD16_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	24.143054863361442	44.0	150.0	150	0.0	19348283.0
AD16_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	24.974494728759467	44.0	150.0	150	9.090909090909092	19348283.0
AD17_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.861008028196082	43.0	150.0	150	18.181818181818183	1203013.0
AD17_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.698640136968734	43.0	150.0	150	18.181818181818183	1203013.0
AD17_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.216178760518417	43.0	150.0	150	18.181818181818183	18093881.0
AD17_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.028519780181256	43.0	150.0	150	18.181818181818183	18093881.0
AD18_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	61.73742945707734	44.0	150.0	150	18.181818181818183	20648096.0
AD18_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	62.438767715784365	44.0	150.0	150	18.181818181818183	20648096.0
AD19_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.100165070317928	43.0	150.0	150	18.181818181818183	779076.0
AD19_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.931445751996762	43.0	150.0	150	18.181818181818183	779076.0
AD19_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	17.165256800208255	43.0	150.0	150	18.181818181818183	11838927.0
AD19_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	18.004151250456317	43.0	150.0	150	18.181818181818183	11838927.0
AD20_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	15.376128863696024	43.0	150.0	150	0.0	17563047.0
AD20_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	16.040846827032084	44.0	150.0	150	0.0	17563047.0
AD21_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	12.264805034748889	42.0	150.0	150	0.0	17543015.0
AD21_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	13.169383207710126	42.0	150.0	150	0.0	17543015.0
AD22_EKDL240003470-1A_223JWCLT4_L2.lib2_1	12.281584965735078	42.0	150.0	150	18.181818181818183	559062.0
AD22_EKDL240003470-1A_223JWCLT4_L2.lib2_2	13.760488159567146	42.0	150.0	150	18.181818181818183	559062.0
